14:04:52.702 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: H9
14:04:52.702 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: I9
14:04:52.702 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: J9
14:04:52.703 INFO   greatchess.functional.Field - Фигура R была размещена на клетке: A10
14:04:52.704 INFO   greatchess.functional.Field - Фигура Kn была размещена на клетке: B10
14:04:52.704 INFO   greatchess.functional.Field - Фигура B была размещена на клетке: C10
14:04:52.705 INFO   greatchess.functional.Field - Фигура Q была размещена на клетке: D10
14:04:52.706 INFO   greatchess.functional.Field - Фигура K была размещена на клетке: E10
14:04:52.707 INFO   greatchess.functional.Field - Фигура G была размещена на клетке: F10
14:04:52.708 INFO   greatchess.functional.Field - Фигура V была размещена на клетке: G10
14:04:52.708 INFO   greatchess.functional.Field - Фигура B была размещена на клетке: H10
14:04:52.708 INFO   greatchess.functional.Field - Фигура Kn была размещена на клетке: I10
14:04:52.709 INFO   greatchess.functional.Field - Фигура R была размещена на клетке: J10
14:04:52.942 INFO   greatchess.functional.Field - Поле проинициализированно успешно.
